car_name,km_driven,manufactured_year,fuel_type,transmission,price
Maruti Wagon R 1.0,56.37k km,2015,Petrol,Manual,₹ 2.25 lakh
Maruti Wagon R 1.0,1.1L km,2016,Petrol,Manual,₹ 2.50 lakh
Maruti Ciaz,2.5L km,2017,Diesel,Manual,₹ 5.08 lakh
Maruti Swift Dzire,71.57k km,2013,Petrol,Manual,₹ 2.76 lakh
Maruti Ertiga,71.69k km,2016,Petrol,Manual,₹ 6.30 lakh
Maruti Wagon R 1.0,35.64k km,2012,Petrol,Manual,₹ 1.57 lakh
Maruti Wagon R 1.0,61.20k km,2013,Petrol,Manual,₹ 1.82 lakh
Maruti Wagon R 1.0,1.1L km,2013,Petrol,Manual,₹ 2.33 lakh
Maruti Wagon R 1.0,76.33k km,2015,Petrol,Manual,₹ 2.77 lakh
Maruti Wagon R 1.0,48.54k km,2014,Petrol,Manual,₹ 2.19 lakh
Maruti Swift,73.03k km,2013,Petrol,Manual,₹ 2.73 lakh
Maruti Wagon R 1.0,1.0L km,2013,Petrol,Manual,₹ 2.02 lakh
Maruti Wagon R 1.0,25.19k km,2010,Petrol,Manual,₹ 1.24 lakh
Maruti Swift Dzire,1.3L km,2010,Diesel,Manual,₹ 2.25 lakh
Maruti Wagon R 1.0,94.38k km,2013,Petrol,Manual,₹ 2.00 lakh
Maruti SX4,96.41k km,2011,Petrol,Manual,₹ 1.60 lakh
Maruti Ritz,14.79k km,2010,Petrol,Manual,₹ 0.98 lakh
Maruti Wagon R 1.0,27.69k km,2013,Petrol,Manual,₹ 2.45 lakh
Maruti Celerio,7.67k km,2017,Petrol,Manual,₹ 2.96 lakh
Maruti Swift Dzire,1.5L km,2012,Diesel,Manual,₹ 2.53 lakh
Maruti Ertiga,50.57k km,2015,Petrol,Manual,₹ 5.80 lakh
Maruti Wagon R 1.0,60.39k km,2013,Petrol,Manual,₹ 2.13 lakh
Maruti Alto K10,38.83k km,2017,Petrol,Manual,₹ 2.48 lakh
Maruti Ertiga,1.1L km,2014,Petrol,Manual,₹ 4.95 lakh
Maruti Alto 800,60.84k km,2015,Petrol,Manual,₹ 1.80 lakh
Maruti Wagon R 1.0,1.1L km,2013,Petrol,Manual,₹ 2.21 lakh
Maruti Baleno,80.34k km,2020,Petrol,Manual,₹ 4.41 lakh
Maruti Ertiga,73.98k km,2012,Petrol,Manual,₹ 2.65 lakh
Maruti Baleno,74.51k km,2020,Petrol,Manual,₹ 4.88 lakh
Maruti Wagon R 1.0,1.1L km,2015,Petrol,Manual,₹ 2.76 lakh
Maruti Wagon R 1.0,1.2L km,2012,Petrol,Manual,₹ 1.70 lakh
Maruti Ertiga,1.2L km,2014,Petrol,Manual,₹ 4.95 lakh
Maruti Swift Dzire,1.2L km,2013,Petrol,Manual,₹ 2.46 lakh
Maruti Swift Dzire,52.75k km,2010,Petrol,Manual,₹ 1.25 lakh
Maruti Swift Dzire,58.90k km,2011,Petrol,Manual,₹ 1.70 lakh
Maruti Zen Estilo,1.1L km,2010,Petrol,Manual,₹ 1.24 lakh
Maruti Wagon R 1.0,48.08k km,2012,Petrol,Manual,₹ 1.83 lakh
Maruti Zen Estilo,81.57k km,2010,Petrol,Manual,₹ 1.10 lakh
Maruti Ertiga,43.42k km,2013,Petrol,Manual,₹ 3.96 lakh
Maruti Alto K10,19.24k km,2015,Petrol,Auto,₹ 2.80 lakh
Maruti Ertiga,2.6L km,2014,Petrol,Manual,₹ 5.38 lakh
Maruti Swift Dzire,57.70k km,2013,Petrol,Manual,₹ 2.79 lakh
Maruti Celerio,70.18k km,2014,Petrol,Manual,₹ 2.87 lakh
Maruti Wagon R 1.0,70.35k km,2012,Petrol,Manual,₹ 1.80 lakh
Maruti Swift Dzire,66.18k km,2014,Petrol,Manual,₹ 3.00 lakh
Maruti Alto K10,27.69k km,2015,Petrol,Manual,₹ 1.50 lakh
Maruti Wagon R 1.0,75.95k km,2012,Petrol,Manual,₹ 1.79 lakh
Maruti Dzire,1.6L km,2018,Diesel,Manual,₹ 5.13 lakh
Maruti Ertiga,50.79k km,2013,Petrol,Manual,₹ 5.00 lakh
Maruti Swift Dzire,1.7L km,2014,Diesel,Manual,₹ 3.62 lakh
Maruti Ciaz,55.46k km,2018,Petrol,Manual,₹ 5.25 lakh
Maruti Swift,38.20k km,2023,Petrol,Manual,₹ 6.15 lakh
Maruti Swift,72.10k km,2018,Petrol,Manual,₹ 4.44 lakh
Maruti Ciaz,82.24k km,2016,Petrol,Auto,₹ 3.61 lakh
Maruti Wagon R 1.0,1.0L km,2014,Petrol,Manual,₹ 2.47 lakh
Maruti Wagon R 1.0,1.1L km,2012,Petrol,Manual,₹ 1.69 lakh
Maruti Swift,31.93k km,2015,Diesel,Manual,₹ 3.14 lakh
Maruti Swift,94.98k km,2018,Diesel,Manual,₹ 5.66 lakh
